id,fieldName,position,sample
-1,:sid,0,6197956
-1,:id,0,44898970-F029-40DB-9944-6C04920728C9
-1,:position,0,6197956
-1,:created_at,0,1416570910
-1,:created_meta,0,878752
-1,:updated_at,0,1416570910
-1,:updated_meta,0,878752
-1,:meta,0,null
154480034,id,1,9857732
154480035,case_number,2,HX506210
154480036,date,3,11/13/14 11:55 PM
154480037,block,4,055XX W WASHINGTON BLVD
154480038,iucr,5,460
154480039,primary_type,6,BATTERY
154480040,description,7,SIMPLE
154480041,location_description,8,APARTMENT
154480042,arrest,9,FALSE
154480043,domestic,10,FALSE
154480044,beat,11,1522
154480045,district,12,15
154480046,ward,13,29
154480047,community_area,14,25
154480048,fbi_code,15,08B
154480049,x_coordinate,16,1139446
154480050,y_coordinate,17,1900162
154480051,year,18,2014
154480052,updated_on,19,11/20/14 12:39 PM
154480053,latitude,20,41.88215348
154480054,longitude,21,-87.763418104
154480055,location,22,[
,,,"{\""address\"":\""\,\""city\"":\""\"",\""state\"":\""\"",\""zip\"":\""\""}"""
,,,41.88215348
,,,-87.763418104
,,,    null
,,,FALSE
,,,]
